iter	Passed	Remaining
768	15242	4578
769	15269	4560
770	15291	4541
771	15311	4521
772	15325	4500
773	15345	4480
774	15364	4460
775	15386	4441
776	15407	4421
777	15426	4401
778	15446	4382
779	15466	4362
780	15485	4342
781	15505	4322
782	15524	4302
783	15545	4282
784	15565	4263
785	15589	4244
786	15609	4224
787	15625	4203
788	15644	4183
789	15665	4164
790	15686	4144
791	15705	4124
792	15726	4105
793	15745	4085
794	15765	4065
795	15788	4046
796	15807	4026
797	15827	4006
798	15847	3986
799	15865	3966
800	15887	3947
801	15907	3927
802	15927	3907
803	15946	3887
804	15965	3867
805	15986	3847
806	16006	3827
807	16024	3807
808	16043	3787
809	16063	3767
810	16083	3748
811	16103	3728
812	16121	3708
813	16142	3688
814	16165	3669
815	16186	3650
816	16207	3630
817	16227	3610
818	16246	3590
819	16267	3570
820	16288	3551
821	16307	3531
822	16328	3511
823	16342	3490
824	16364	3471
825	16385	3451
826	16403	3431
827	16420	3410
828	16439	3390
829	16458	3371
830	16480	3351
831	16500	3331
832	16521	3312
833	16537	3291
834	16554	3271
835	16575	3251
836	16595	3231
837	16614	3211
838	16631	3191
839	16650	3171
840	16671	3152
841	16687	3131
842	16708	3111
843	16729	3092
844	16749	3072
845	16771	3052
846	16791	3033
847	16805	3012
848	16827	2992
849	16846	2972
850	16870	2953
851	16890	2934
852	16909	2914
853	16930	2894
854	16946	2874
855	16963	2853
856	16984	2834
857	17002	2814
858	17022	2794
859	17043	2774
860	17063	2754
861	17083	2734
862	17104	2715
863	17123	2695
864	17144	2675
865	17165	2656
866	17187	2636
867	17208	2616
868	17231	2597
869	17249	2577
870	17270	2557
871	17289	2537
872	17303	2517
873	17322	2497
874	17342	2477
875	17358	2457
876	17376	2437
877	17397	2417
878	17416	2397
879	17436	2377
880	17460	2358
881	17479	2338
882	17499	2318
883	17519	2298
884	17534	2278
885	17554	2258
886	17574	2238
887	17596	2219
888	17616	2199
889	17632	2179
890	17652	2159
891	17674	2139
892	17692	2119
893	17714	2100
894	17734	2080
895	17755	2060
896	17775	2041
897	17790	2020
898	17813	2001
899	17833	1981
900	17852	1961
901	17873	1941
902	17893	1922
903	17913	1902
904	17933	1882
905	17954	1862
906	17974	1842
907	17995	1823
908	18014	1803
909	18035	1783
910	18053	1763
911	18072	1743
912	18092	1724
913	18108	1703
914	18130	1684
915	18151	1664
916	18166	1644
917	18187	1624
918	18207	1604
919	18227	1585
920	18247	1565
921	18267	1545
922	18285	1525
923	18305	1505
924	18321	1485
925	18337	1465
926	18356	1445
927	18378	1425
928	18399	1406
929	18418	1386
930	18437	1366
931	18458	1346
932	18478	1326
933	18498	1307
934	18517	1287
935	18538	1267
936	18558	1247
937	18577	1227
938	18599	1208
939	18618	1188
940	18637	1168
941	18659	1148
942	18679	1129
943	18700	1109
944	18720	1089
945	18737	1069
946	18758	1049
947	18780	1030
948	18800	1010
949	18820	990
950	18839	970
951	18859	950
952	18880	931
953	18899	911
954	18914	891
955	18930	871
956	18951	851
957	18974	831
958	18993	812
959	19013	792
960	19034	772
961	19062	752
962	19081	733
963	19102	713
964	19121	693
965	19141	673
966	19163	653
967	19182	634
968	19202	614
969	19222	594
970	19242	574
971	19259	554
972	19278	534
973	19299	515
974	19320	495
975	19339	475
976	19359	455
977	19379	435
978	19398	416
979	19413	396
980	19427	376
981	19448	356
982	19469	336
983	19490	316
984	19512	297
985	19531	277
986	19553	257
987	19574	237
988	19593	217
989	19612	198
990	19633	178
991	19653	158
992	19674	138
993	19695	118
994	19715	99
995	19736	79
996	19757	59
997	19776	39
998	19792	19
999	19806	0
